filename,split,label,is_synthetic,source_id,chunk_idx,speaker_id,transcript,gender,accent,duration,quality_tier,generator,method,attack_category,source_real_file,snr_db
val/real/cv_000843_chunk000.wav,val,real,False,cv_000843,0,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You should evaluate it in a perceptual experiment.,nan,nan,3.0,clean,,,,,
val/synthetic/cv_000843_chunk000.wav,val,synthetic,True,cv_000843,0,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You should evaluate it in a perceptual experiment.,nan,nan,3.0,clean,edge-tts/en-US-GuyNeural,tts,tts,real/cv_000843_chunk000.wav,
val/real/cv_000843_chunk001.wav,val,real,False,cv_000843,1,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You should evaluate it in a perceptual experiment.,nan,nan,3.0,clean,,,,,
val/synthetic/cv_000843_chunk001.wav,val,synthetic,True,cv_000843,1,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You should evaluate it in a perceptual experiment.,nan,nan,3.0,clean,edge-tts/en-IN-NeerjaNeural,tts,tts,real/cv_000843_chunk001.wav,
val/real/cv_000844_chunk000.wav,val,real,False,cv_000844,0,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You've resented me from the first moment you saw me!,nan,nan,3.0,mobile,,,,,
val/synthetic/cv_000844_chunk000.wav,val,synthetic,True,cv_000844,0,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You've resented me from the first moment you saw me!,nan,nan,3.0,mobile,edge-tts/en-IN-NeerjaNeural,tts,tts,real/cv_000844_chunk000.wav,
val/real/cv_000844_chunk001.wav,val,real,False,cv_000844,1,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You've resented me from the first moment you saw me!,nan,nan,3.0,noisy,,,,,15
val/synthetic/cv_000844_chunk001.wav,val,synthetic,True,cv_000844,1,d3fb40db2fac4e2dbef45a800feaf2a6f89522ac08c249b608c1747383d4466fc5856502c9700c2c181a7c101bac109814f183a8cb7a34ed085efa785c2c8cde,You've resented me from the first moment you saw me!,nan,nan,3.0,noisy,models/rvc/KanyeWest/KanyeWest.pth,vc,vc,real/cv_000844_chunk001.wav,15
test/real/cv_001222_chunk000.wav,test,real,False,cv_001222,0,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,When you start to eat like this something is the matter.,nan,nan,3.0,clean,,,,,
test/synthetic/cv_001222_chunk000.wav,test,synthetic,True,cv_001222,0,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,When you start to eat like this something is the matter.,nan,nan,3.0,clean,models/rvc/EdSheeran/EdSheeran.pth,vc,vc,real/cv_001222_chunk000.wav,
test/real/cv_001222_chunk001.wav,test,real,False,cv_001222,1,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,When you start to eat like this something is the matter.,nan,nan,3.0,clean,,,,,
test/synthetic/cv_001222_chunk001.wav,test,synthetic,True,cv_001222,1,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,When you start to eat like this something is the matter.,nan,nan,3.0,clean,edge-tts/en-GB-RyanNeural,tts,tts,real/cv_001222_chunk001.wav,
test/real/cv_001223_chunk000.wav,test,real,False,cv_001223,0,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,And so will you.,nan,nan,3.0,mobile,,,,,
test/synthetic/cv_001223_chunk000.wav,test,synthetic,True,cv_001223,0,d94f70ea7107f90e253d8ce9ca0a92532a13b148d0f1d2814549767514c272828410d756237fc1ee058753c732a992e9c23d1f87b9fd73ab848360a1197ef7b7,And so will you.,nan,nan,3.0,mobile,models/rvc/KanyeWest/KanyeWest.pth,vc,vc,real/cv_001223_chunk000.wav,
train/real/cv_003528_chunk000.wav,train,real,False,cv_003528,0,fbe9e880ac43645e2eba38f42446ca95906d39e454f2f635cd5b7b8e34135f6febd97ea765286e00433894d9424ea5c184489f432b93e7f141dd2a62028f7a1c,"I tried one of the leading Dragon extensions to help with this, Voice Code.",nan,nan,3.0,mobile,,,,,
train/synthetic/cv_003528_chunk000.wav,train,synthetic,True,cv_003528,0,fbe9e880ac43645e2eba38f42446ca95906d39e454f2f635cd5b7b8e34135f6febd97ea765286e00433894d9424ea5c184489f432b93e7f141dd2a62028f7a1c,"I tried one of the leading Dragon extensions to help with this, Voice Code.",nan,nan,3.0,mobile,models/rvc/EdSheeran/EdSheeran.pth,vc,vc,real/cv_003528_chunk000.wav,
train/real/cv_003528_chunk001.wav,train,real,False,cv_003528,1,fbe9e880ac43645e2eba38f42446ca95906d39e454f2f635cd5b7b8e34135f6febd97ea765286e00433894d9424ea5c184489f432b93e7f141dd2a62028f7a1c,"I tried one of the leading Dragon extensions to help with this, Voice Code.",nan,nan,3.0,noisy,,,,,15
train/synthetic/cv_003528_chunk001.wav,train,synthetic,True,cv_003528,1,fbe9e880ac43645e2eba38f42446ca95906d39e454f2f635cd5b7b8e34135f6febd97ea765286e00433894d9424ea5c184489f432b93e7f141dd2a62028f7a1c,"I tried one of the leading Dragon extensions to help with this, Voice Code.",nan,nan,3.0,noisy,edge-tts/en-US-JennyNeural,tts,tts,real/cv_003528_chunk001.wav,15
train/real/cv_006772_chunk000.wav,train,real,False,cv_006772,0,1a9bc37b0edefa61fe1667a8c0c1b912867619eba91f00d83a1df01108a948bc3e58ab6cbab9e3805427ac9d6ea15754d2e0be87ec219039d7dcb74d78d91be0,Drinking too much water in a short period of time can be lethal.,nan,nan,3.0,clean,,,,,
train/synthetic/cv_006772_chunk000.wav,train,synthetic,True,cv_006772,0,1a9bc37b0edefa61fe1667a8c0c1b912867619eba91f00d83a1df01108a948bc3e58ab6cbab9e3805427ac9d6ea15754d2e0be87ec219039d7dcb74d78d91be0,Drinking too much water in a short period of time can be lethal.,nan,nan,3.0,clean,models/rvc/KanyeWest/KanyeWest.pth,vc,vc,real/cv_006772_chunk000.wav,
train/real/cv_006772_chunk001.wav,train,real,False,cv_006772,1,1a9bc37b0edefa61fe1667a8c0c1b912867619eba91f00d83a1df01108a948bc3e58ab6cbab9e3805427ac9d6ea15754d2e0be87ec219039d7dcb74d78d91be0,Drinking too much water in a short period of time can be lethal.,nan,nan,3.0,mobile,,,,,
train/synthetic/cv_006772_chunk001.wav,train,synthetic,True,cv_006772,1,1a9bc37b0edefa61fe1667a8c0c1b912867619eba91f00d83a1df01108a948bc3e58ab6cbab9e3805427ac9d6ea15754d2e0be87ec219039d7dcb74d78d91be0,Drinking too much water in a short period of time can be lethal.,nan,nan,3.0,mobile,edge-tts/en-GB-SoniaNeural,tts,tts,real/cv_006772_chunk001.wav,
